Input.sentence,Input.info,Answer.MakeSense.on,Answer.rewrite
Everybody 's finger is one inch closer to the button,[ 'button' 'white' ],TRUE,Everybody's finger is one inch closer to the white button
And pregnant women are fat,[ 'woman' 'WEARING' 'blouse' ],TRUE,And pregnant women wearing a blouse are fat
And pregnant women are fat,[ 'woman' 'standing' ],TRUE,And standing pregnant women are fat
Sales gained 16 % to 1.03 billion from 894 million,[ 'sale' 'at' 'company' ],TRUE,Sales at the company gained 16 % to 1.03 billion from 894 million
Sales gained 16 % to 1.03 billion from 894 million,[ 'sale' 'red' ],FALSE,Red sales gained 16% to 1.03 billion from 894 million
The 6 3\/4 % notes yield 6.25 %,[ 'note' 'ON' 'sign' ],TRUE,The 6 3\/4 % notes on the sign yield 6.25 %
That compares with 3.5 % butterfat for whole milk,[ 'milk' 'IN' 'bowl' ],TRUE,That compares with 3.5% butterfat for whole milk in a bowl
The 6 3\/4 % notes yield 6.25 %,[ 'note' 'yellow' ],FALSE,The 6 3V4 percent yellow notes yield 6 25 percent
That compares with 3.5 % butterfat for whole milk,[ 'milk' 'white' ],TRUE,That compares with 3.5 % butterfat for whole white milk
USX is funneling drilling pipe to steel-hungry Soviet Union,[ 'pipe' 'ON' 'wall' ],FALSE,USX is funneling drilling pipe on the wall to steel-hungry Soviet Union
Chief executives and presidents had come and gone,[ 'executive' 'ON' 'signs' ],FALSE,Chief executives on signs and presidents had come and gone
USX is funneling drilling pipe to steel-hungry Soviet Union,[ 'pipe' 'metal' ],TRUE,USX is funneling drilling pipe that is metal to steel-hungry Soviet Union
There 's nothing unusual about business groups pushing for more government spending,[ 'nothing' 'IN' 'sky' ],FALSE,There's nothing in the sky unusual about business groups pushing for more government spending
Chief executives and presidents had come and gone,[ 'executive' 'in white' ],FALSE,Chief executives in white and presidents had come and gone
There 's nothing unusual about business groups pushing for more government spending,[ 'nothing' 'clear' ],TRUE,There 's nothing unusual or clear about business groups pushing for more government spending
Chief executives and presidents had come and gone,[ 'president' 'at' 'table' ],TRUE,Chief executives and presidents at the table had come and gone
There 's nothing unusual about business groups pushing for more government spending,[ 'business' 'has' 'phone number' ],FALSE,There's nothing unusual about businesses with phone number groups pushing for more government spending
There 's nothing unusual about business groups pushing for more government spending,[ 'business' 'here' ],TRUE,There 's nothing unusual about business groups pushing for more government spending here
There 's nothing unusual about business groups pushing for more government spending,[ 'group' 'OF' 'trees' ],FALSE,There 's nothing unusual about business groups of trees pushing for more government spending
There 's nothing unusual about business groups pushing for more government spending,[ 'group' 'large' ],TRUE,There's nothing unusual about large business groups pushing for more government spending
HEALTH CLUBS gear up for a graying clientele,[ 'health' 'center' 'sign' ],FALSE,EALTH CLUBS gear up for a graying clientele with the center sign
HEALTH CLUBS gear up for a graying clientele,[ 'club' 'ON' 'bar' ],FALSE,Health clubs on bars gear up for a graying clientele
HEALTH CLUBS gear up for a graying clientele,[ 'club' 'wooden' ],FALSE,HEALTH wooden CLUBS gear up for a graying clientele
HEALTH CLUBS gear up for a graying clientele,[ 'clientele' 'outdoors' ],FALSE,HEALTH CLUBS gear up for a graying outdoors clientele
A closing date has n't been set,[ 'date' 'ON' 'photo' ],FALSE,A closing date hasn't been set on the photo
A closing date has n't been set,[ 'date' 'yellow' ],FALSE,A closing yellow date has n't been set
North Carolinians New Yorkers Californians Chicagoans and Ohioans own Texas banks,[ 'bank' 'ON' 'water' ],TRUE,North Carolinians New Yorkers Californians Chicagoans and Ohioans own Texas banks on the water
North Carolinians New Yorkers Californians Chicagoans and Ohioans own Texas banks,[ 'bank' 'grassy' ],FALSE,North Carolinians New Yorkers Californians Chicagoans and Ohioans own Texas banks
Shrubs and flowers give it a pleasing and non-fortress-like appearance,[ 'shrub' 'front' 'building' ],TRUE,Front building shrubs and flowers give it a pleasing and non-fortress-like appearance
Shrubs and flowers give it a pleasing and non-fortress-like appearance,[ 'shrub' 'green' ],TRUE,Green shrubs and flowers give it a pleasing and non-fortress-like appearance
Shrubs and flowers give it a pleasing and non-fortress-like appearance,[ 'flower' 'IN' 'vase' ],TRUE,Shrubs and flowers in a vase give it a pleasing and non fortress like appearance
Shrubs and flowers give it a pleasing and non-fortress-like appearance,[ 'flower' 'yellow' ],TRUE,Shrubs and yellow flowers give it a pleasing and non-fortress-like appearance
His Tuesday night team the Leftovers is in first place,[ 'night' 'table with candle and' 'night' ],FALSE,His Tuesday night table with candle and night the Leftovers is in the first place
His Tuesday night team the Leftovers is in first place,[ 'night' 'black' ],FALSE,His Tuesday black night team the Leftovers is in first place
His Tuesday night team the Leftovers is in first place,[ 'team' 'WEARING' 'shirt' ],FALSE,His Tuesday night shirt WEARING team the Leftovers is in first place
His Tuesday night team the Leftovers is in first place,[ 'team' 'posing' ],TRUE,His Tuesday night team the Leftovers is posing in first place
His Tuesday night team the Leftovers is in first place,[ 'place' 'on' 'sign' ],FALSE,His Tuesday night team the Leftovers is in first place on the sign
His Tuesday night team the Leftovers is in first place,[ 'place' 'full' ],FALSE,His Tuesday night team the Leftovers is in first full place
Banks may contribute more senior debt,[ 'bank' 'OF' 'river' ],FALSE,Banks of rivers may contribute more senior debt
Banks may contribute more senior debt,[ 'bank' 'grassy' ],FALSE,Banks may contribute more grassy senior debt
All three new models are outselling their predecessors by wide margins,[ 'model' 'ON' 'sign' ],FALSE,All three new models are outselling their predecessors by wide margins on the sign
All three new models are outselling their predecessors by wide margins,[ 'model' 'red' ],FALSE,All three new models are outselling their predecessors by wide red model margins
All three new models are outselling their predecessors by wide margins,[ 'margin' 'separating' 'photo' ],TRUE,All three new models are outselling their predecessors by wide margins separating the photo
All three new models are outselling their predecessors by wide margins,[ 'margin' 'thick' ],TRUE,All three new models are outselling their predecessors by thick wide margins
In over-the-counter trading MGM Grand was bid at 17.50 a share,[ 'red t' 'IN' 'trading' ],FALSE,In over-the-counter trading MGM Grand was bid at 17.50 a share in the red trading
The new rules will allow investors to buy foreign stocks directly,[ 'stock' 'OF' 'broccoli' ],FALSE,The new rules will allow investors to buy foreign stocks of broccoli directly
The new rules will allow investors to buy foreign stocks directly,[ 'stock' 'green' ],FALSE,The new rules will allow investors to buy foreign green stocks directly
Such centrifugal egg breakers have been around since the 1890s,[ 'egg' 'between' 'broccoli' ],FALSE,Such centrifugal egg between broccoli breakers have been around since the 1890s
Such centrifugal egg breakers have been around since the 1890s,[ 'egg' 'white' ],TRUE,Such centrifugal egg white breakers have been around since the 1890s
Such centrifugal egg breakers have been around since the 1890s,[ 'breaker' 'IN' 'ocean' ],TRUE,Such centrifugal egg breakers in the ocean have been around since the 1890s
Such centrifugal egg breakers have been around since the 1890s,[ 'breaker' 'large' ],TRUE,Such centrifugal large egg breakers have been around since the 1890s
He sees a psychoanalyst five mornings a week,[ 'college campus' 'IN' 'morning' ],FALSE,He sees a psychoanalyst five mornings in college campus a week
He sees a psychoanalyst five mornings a week,[ 'day' 'OF' 'week' ],FALSE,He sees a psychoanalyst five mornings a day of the week
They both called it a welcome home gathering,[ 'home' 'on a' 'hill' ],TRUE,They both called it a welcome home on a hill gathering
They both called it a welcome home gathering,[ 'home' 'white' ],FALSE,They both called it a welcome white home gathering
They both called it a welcome home gathering,[ 'gathering' 'OF' 'people' ],TRUE,They both called it a welcome home gathering of people
They both called it a welcome home gathering,[ 'gathering' 'social' ],TRUE,They both called it a welcome home social gathering
Ohbayashi is Japan 's second largest construction company,[ 'construction' 'ON' 'building' ],TRUE,Ohbayashi is Japan 's second largest construction company on the building
Ohbayashi is Japan 's second largest construction company,[ 'construction' 'gate' ],TRUE,Ohbayashi is Japan 's second largest gate construction company
Ohbayashi is Japan 's second largest construction company,[ 'company' 'has' 'label' ],FALSE,Ohbayashi is Japan's second largest construction company with a label
